extension,files,bytes,size_human
.png,347355,64949076345,60.5 GB
.js,86162,34326687290,32.0 GB
.jpg,29387,6440109671,6.0 GB
.mp3,4248,3197388459,3.0 GB
.wasm,332,1690586055,1.6 GB
.gif,5963,1201152861,1.1 GB
.webp,18970,788500284,752.0 MB
.svg,7982,670897717,639.8 MB
.data,68,663792501,633.0 MB
.ttf,2190,589447988,562.1 MB
.obj,571,560217893,534.3 MB
.onnx,49,476660562,454.6 MB
.html,28102,467913014,446.2 MB
.glb,1531,463661697,442.2 MB
.mp4,754,388501737,370.5 MB
.babylon,42,383945811,366.2 MB
.map,671,376656042,359.2 MB
.json,4922,276244820,263.4 MB
.jpeg,510,264610275,252.4 MB
.wav,427,258610873,246.6 MB
.otf,709,208068154,198.4 MB
.bin,1499,192416048,183.5 MB
.zip,120,139015051,132.6 MB
.hdr,94,132630985,126.5 MB
(no ext),13833,118913378,113.4 MB
.unityweb,45,114408243,109.1 MB
.ogg,449,80172425,76.5 MB
.pck,13,79833696,76.1 MB
.gltf,195,70507980,67.2 MB
.txt,36776,45130608,43.0 MB
.pcd,3,39888020,38.0 MB
.flac,46,36109183,34.4 MB
.geojson,14,34157278,32.6 MB
.cjs,26,29637419,28.3 MB
.ico,591,28211782,26.9 MB
.wsz,207,28074192,26.8 MB
.frag,6297,26600289,25.4 MB
.ts,1197,26363036,25.1 MB
.mpd,20,24376930,23.2 MB
.css,23049,23451752,22.4 MB
.csv,359,22619561,21.6 MB
.kra,4,21419153,20.4 MB
.png~,29,19349510,18.5 MB
.md,4727,18794382,17.9 MB
.webm,55,17142709,16.3 MB
.drc,203,16954080,16.2 MB
.dae,3,16201116,15.5 MB
.woff,136,15727472,15.0 MB
.dat,1146,15001306,14.3 MB
.m4a,9,11847806,11.3 MB
.pack,19,11386973,10.9 MB
.exe,3,11217408,10.7 MB
.3dm,1,10861118,10.4 MB
.exr,5,10388071,9.9 MB
.env,10,8849755,8.4 MB
.fbx,4,8368796,8.0 MB
.lcl,234,8122800,7.7 MB
.task,1,7819105,7.5 MB
.woff2,166,7379324,7.0 MB
.rar,6,6160595,5.9 MB
.pdf,11,5240297,5.0 MB
.xml,39,5161712,4.9 MB
.xz,4,5116564,4.9 MB
.sqlite,19,4710400,4.5 MB
.db,44,4321280,4.1 MB
.tflite,2,4142816,4.0 MB
.ai,1,4070516,3.9 MB
.stl,19,2691919,2.6 MB
.download,24,2632683,2.5 MB
.yy,63,2574420,2.5 MB
.eot,32,2397599,2.3 MB
.config,26,2225961,2.1 MB
.psd,3,2207629,2.1 MB
.ply,6,2092883,2.0 MB
.3dl,26,1797192,1.7 MB
.min,2,1647526,1.6 MB
.objbak,2,1606528,1.5 MB
.cljs,20,1427506,1.4 MB
.ktx2,1,1326622,1.3 MB
.7z,2,1233046,1.2 MB
.yyz,1,1134323,1.1 MB
.����,1,1049926,1.0 MB
.sample,575,1041056,1016.7 KB
.br,8,1039096,1014.7 KB
.vel,1,984517,961.4 KB
.pages,1,982453,959.4 KB
.heic,1,823248,804.0 KB
.bmp,1,786488,768.1 KB
.mjs,9,781121,762.8 KB
.aac,1,780895,762.6 KB
.cljc,12,763544,745.6 KB
.mov,1,746756,729.3 KB
.mem,3,740197,722.8 KB
.lock,6,732774,715.6 KB
.kra~,1,691294,675.1 KB
.bak,85,578760,565.2 KB
.filamat,1,552213,539.3 KB
.glsl,205,511616,499.6 KB
.vsidx,1,497265,485.6 KB
.1,4,375680,366.9 KB
.idx,19,258088,252.0 KB
.php,1,254709,248.7 KB
.vert,529,249504,243.7 KB
.act,316,243952,238.2 KB
.ora,1,230872,225.5 KB
.sass,47,222986,217.8 KB
.gz,4,222704,217.5 KB
.swp,12,204800,200.0 KB
.rs,8,188145,183.7 KB
.aseprite,15,134636,131.5 KB
.ktx,1,129376,126.3 KB
.crdownload,1,98798,96.5 KB
.3,1,97471,95.2 KB
.docx,3,88986,86.9 KB
.pd,3,69279,67.7 KB
.scss,17,61786,60.3 KB
.patch,2,61382,59.9 KB
.edn,29,58301,56.9 KB
.gui,1,50270,49.1 KB
.log,15,43381,42.4 KB
.pde,9,34769,34.0 KB
.babel,5,34334,33.5 KB
.mid,120,32790,32.0 KB
.p8,1,30058,29.4 KB
.rev,8,28416,27.8 KB
.py,5,23943,23.4 KB
.jfif,4,23478,22.9 KB
.toffee,6,23074,22.5 KB
.java,9,22195,21.7 KB
.mtl,57,20193,19.7 KB
.coffee,8,19782,19.3 KB
.ds_store,3,18444,18.0 KB
.webmanifest,52,18256,17.8 KB
.xcf,2,17966,17.5 KB
.extract-native-dependencies,2,16906,16.5 KB
.ps,3,16074,15.7 KB
.ini,102,13425,13.1 KB
.license,6,12948,12.6 KB
.yml,23,8754,8.5 KB
.ps1,8,6420,6.3 KB
.scd,1,6030,5.9 KB
.markdown,12,5672,5.5 KB
.yaml,1,5466,5.3 KB
.rtf,4,5082,5.0 KB
.vtt,1,4610,4.5 KB
.import,6,4302,4.2 KB
.cur,1,4286,4.2 KB
.properties,83,4187,4.1 KB
.js~,3,3927,3.8 KB
.xmp,2,3192,3.1 KB
.index,1,3026,3.0 KB
.nfo,1,2964,2.9 KB
.lnk,2,2713,2.6 KB
.cmd,8,2595,2.5 KB
.clj,2,2563,2.5 KB
.less,1,2423,2.4 KB
.sublime-workspace,1,1991,1.9 KB
.html-,6,1825,1.8 KB
.manifest,15,1410,1.4 KB
.swf,1,1348,1.3 KB
.tx,1,1214,1.2 KB
.binarypb,2,1100,1.1 KB
.fxhash,1,1061,1.0 KB
.nix,7,903,903.0 B
.res,2,728,728.0 B
.mat,1,646,646.0 B
.filamesh,1,600,600.0 B
.iml,1,469,469.0 B
.code-workspace,4,410,410.0 B
.conf,1,377,377.0 B
.url,2,294,294.0 B
.fish,1,190,190.0 B
.sh,2,184,184.0 B
.bat,8,173,173.0 B
.old,1,117,117.0 B
.bash,1,116,116.0 B
.dm,1,116,116.0 B
.,1,98,98.0 B
.el,2,74,74.0 B
.ms,1,45,45.0 B
.2701252402,7,0,0.0 B
.css-,5,0,0.0 B
.identifier,12,0,0.0 B
.stamp,1,0,0.0 B
.sqlite-journal,1,0,0.0 B
