id,name,version,chain,author_name,author_id,created_at,mint_opens_at,supply,iterations_count
0,FXHASH Generative Logo,fxhash 1.0 (Tezos),TEZOS,fxhash,tz1fepn7jZsCYBqCDhpM63hzh9g2Ytqk4Tpv,2021-11-03T12:26:02+00:00,2021-11-03T12:26:02+00:00,1000,1000
1,FXHASH Logo with Features,fxhash 1.0 (Tezos),TEZOS,fxhash,tz1fepn7jZsCYBqCDhpM63hzh9g2Ytqk4Tpv,2021-11-06T17:52:58+00:00,2021-11-06T17:52:58+00:00,1000,1000
2,RGB Elementary Cellular Automaton,fxhash 1.0 (Tezos),TEZOS,ciphrd,tz1PoDdN2oyRyF6DA73zTWAWYhNL4UGr3Egj,2021-11-07T20:47:26+00:00,2021-11-07T20:47:26+00:00,1000,1000
3,Punevyr's face,fxhash 1.0 (Tezos),TEZOS,punevyr,tz1SawhUHXWjiGK8gPK6QPmn95G8PkkSjA3S,2021-11-08T01:13:46+00:00,2021-11-08T01:13:46+00:00,100,100
4,Blobby,fxhash 1.0 (Tezos),TEZOS,Sam Tsao,tz1WZuFdbESHfBSvoBeao1Wkt7NCyUuXAT9D,2021-11-10T20:00:38+00:00,2021-11-10T20:00:38+00:00,512,512
5,BINGO,fxhash 1.0 (Tezos),TEZOS,rudxane,tz1YHsinBJHMj1YFN7UrCsVAgTcaJCH86PjK,2021-11-10T21:34:38+00:00,2021-11-10T21:34:38+00:00,1000,1000
6,Weave,fxhash 1.0 (Tezos),TEZOS,Third Vision,tz1Pvcc692zN1qUpf5Ek35AGNXwzqxCWHDYL,2021-11-10T23:28:48+00:00,2021-11-10T23:28:48+00:00,666,666
7,Generative Art - Poster,fxhash 1.0 (Tezos),TEZOS,lomz,tz1gYwgGhpxjt4po3f53P1t1sS3osPondHwW,2021-11-11T00:49:58+00:00,2021-11-11T00:49:58+00:00,30,30
8,Particulate Hash,fxhash 1.0 (Tezos),TEZOS,Liam Egan,tz1LrQZuDuGrtozMZxhwQAZjdqJjXHPxVja8,2021-11-11T01:36:28+00:00,2021-11-11T01:36:28+00:00,128,128
9,Folding,fxhash 1.0 (Tezos),TEZOS,Lisa Orth,tz1WhX3XRDvbJf4XY87Zh6JRstmqcjpM1Hfs,2021-11-11T03:56:48+00:00,2021-11-11T03:56:48+00:00,100,100
10,Sound Check,fxhash 1.0 (Tezos),TEZOS,idlebit,tz1LSjfgjLXmbp6VtPx7Tptxuh3Ljjbqj2Py,2021-11-11T09:57:08+00:00,2021-11-11T09:57:08+00:00,333,333
11,Generotique,fxhash 1.0 (Tezos),TEZOS,StrangerintheQ,tz2MHcnM7fEVtExELMPBZb5njDweqMGvbn8A,2021-11-11T11:21:18+00:00,2021-11-11T11:21:18+00:00,256,256
12,etherealArc,fxhash 1.0 (Tezos),TEZOS,Xeronimo,tz1PfQDUD9UWGJ2hqHRttJU5wVtxrnPwBRa1,2021-11-11T14:38:18+00:00,2021-11-11T14:38:18+00:00,100,100
13,Sticky circles,fxhash 1.0 (Tezos),TEZOS,loackme,tz1NgN7FCrSzs4vfMroKXyKE32WsReYD4WPd,2021-11-11T14:44:18+00:00,2021-11-11T14:44:18+00:00,256,256
14,SMOLSKULL,fxhash 1.0 (Tezos),TEZOS,markknol,tz1XrutuvkFRG15HmV2gdon86F38NMMGMAXr,2021-11-11T16:45:48+00:00,2021-11-11T16:45:48+00:00,2000,2000
15,BETWEEN THE LINES,fxhash 1.0 (Tezos),TEZOS,andre,tz1ZEoCxEKW6fPZv8LZrpu2N6DBZcCCqMS6v,2021-11-11T18:08:58+00:00,2021-11-11T18:08:58+00:00,250,250
16,Rotate Max #N,fxhash 1.0 (Tezos),TEZOS,PSW ,tz1SDVkGWcd7AKuEmgMNjvo1chbShRV3Ctm5,2021-11-11T18:33:38+00:00,2021-11-11T18:33:38+00:00,235,235
17,pico_pulses,fxhash 1.0 (Tezos),TEZOS,aebrer,tz1ZBMhTa7gxSpaeXoqyc6bTCrxEHfZYSpPt,2021-11-11T18:57:18+00:00,2021-11-11T18:57:18+00:00,256,256
18,Expansion,fxhash 1.0 (Tezos),TEZOS,beardcoded,tz1ddAm4HTMGQpnv7KQ3GWAtmAkXCnYdonJR,2021-11-11T19:23:48+00:00,2021-11-11T19:23:48+00:00,119,119
19,Hidden Square,fxhash 1.0 (Tezos),TEZOS,StrangerintheQ,tz2MHcnM7fEVtExELMPBZb5njDweqMGvbn8A,2021-11-11T19:44:18+00:00,2021-11-11T19:44:18+00:00,1000,1000
20,Chromatic dazzle,fxhash 1.0 (Tezos),TEZOS,wblut,tz1TSWEDs9wcBx2KiRzVzyzECsNpRiZaLJ1D,2021-11-11T20:03:48+00:00,2021-11-11T20:03:48+00:00,511,511
