js_file,projects,pct
bundle.js,1089,39.4
sketch.js,902,32.7
p5.min.js,857,31.0
p5.js,606,21.9
index.js,436,15.8
p5.sound.min.js,271,9.8
script.js,136,4.9
fxhash.min.js,124,4.5
hydra-synth.js,111,4.0
fxhash.js,111,4.0
main.js,92,3.3
p5.dom.min.js,45,1.6
colors.js,36,1.3
utils.js,30,1.1
lc.js,30,1.1
mySketch.js,29,1.1
patch.js,27,1.0
TESTE.js,26,0.9
OrbitControls.js,23,0.8
three.min.js,20,0.7
helpers.js,19,0.7
script-hydra.js,19,0.7
three.js,19,0.7
tinycolor.umd.min.js,19,0.7
chroma.min.js,17,0.6
index.min.js,17,0.6
app.js,17,0.6
p5.scribble.js,17,0.6
features.js,16,0.6
palettes.js,15,0.5
p5.sound.js,14,0.5
p5.svg.js,14,0.5
perlin.js,13,0.5
p5.pattern.js,12,0.4
random.js,11,0.4
CCapture.all.min.js,11,0.4
Cell.js,11,0.4
three.module.js,11,0.4
audio.js,10,0.4
p5.pre-min.js,10,0.4
tools.js,10,0.4
snippet.js,10,0.4
p5-test.js,9,0.3
grain.js,9,0.3
kenzo.js,8,0.3
gradient.js,8,0.3
particle.js,7,0.3
frame.js,7,0.3
chroma.js,7,0.3
feature.js,7,0.3
util.js,7,0.3
p5.min2.js,7,0.3
fx.js,7,0.3
classes.js,7,0.3
interface.js,7,0.3
babylon.js,7,0.3
shaderrender.js,7,0.3
draw.js,7,0.3
gen.js,7,0.3
gif.worker.js,7,0.3
sketch.min.js,7,0.3
grid.js,7,0.3
base.js,6,0.2
shaders.js,6,0.2
setup.js,6,0.2
interaction.js,6,0.2
action.js,6,0.2
gif.js,6,0.2
tph_fxhash_extension.js,6,0.2
randomValue.js,6,0.2
p5.grain.min.js,6,0.2
arrays.js,6,0.2
math.js,6,0.2
p5.basics.js,6,0.2
fxhashconfig.js,5,0.2
texture.js,5,0.2
TrackballControls.js,5,0.2
sketchO.js,5,0.2
tinycolor-min.js,5,0.2
processing.js,5,0.2
DisplayEngine2d.js,5,0.2
tree.js,5,0.2
Colors.js,5,0.2
grid2.js,5,0.2
html2canvas.min.js,5,0.2
fxRandHelper.js,5,0.2
fxTrait.js,5,0.2
script.min.js,5,0.2
p5.grain.core.js,5,0.2
palette.js,5,0.2
instancefractals.js,5,0.2
ntc.js,5,0.2
grid1.js,5,0.2
fifuli.js,5,0.2
tone.js,5,0.2
tonal.js,5,0.2
colours.js,5,0.2
cart.js,5,0.2
jquery.min.js,5,0.2
terrain.js,4,0.1
Features.js,4,0.1
ammo.wasm.js,4,0.1
static_js_runtime-main.dfaed739.js,4,0.1
MainObject.js,4,0.1
ColorTools.js,4,0.1
Util.js,4,0.1
sketch1.js,4,0.1
noise.js,4,0.1
OBJLoader.js,4,0.1
svg.min.js,4,0.1
stats.module.js,4,0.1
assets.js,4,0.1
AssetManager.js,4,0.1
simplex.js,4,0.1
PointerLockControls.js,4,0.1
FirstPersonControls.js,4,0.1
polygon.js,4,0.1
hydra-js.js,4,0.1
lerpquads1.js,4,0.1
lerpquads1_backup.js,4,0.1
p5.easycam.min.js,4,0.1
FlyControls.js,4,0.1
js.js,4,0.1
p5.createloop.js,4,0.1
webm-writer-0.2.0.js,4,0.1
download.js,4,0.1
sounddesign.js,4,0.1
node.js,4,0.1
gpu-browser.min.js,4,0.1
timer.js,3,0.1
p5.brush.min.js,3,0.1
p5.flex.js,3,0.1
map.js,3,0.1
loading.js,3,0.1
WebGL.js,3,0.1
dat.gui.min.js,3,0.1
constants.js,3,0.1
NormalMapNode.js,3,0.1
ViewportNode.js,3,0.1
SplitNode.js,3,0.1
WebGPUNodeBuilder.js,3,0.1
WebGPUBuffer.js,3,0.1
NodeMaterial.js,3,0.1
layers.data.js,3,0.1
flor2.js,3,0.1
p5.riso.js,3,0.1
geometry.js,3,0.1
p5-v1.0.0.min.js,3,0.1
eyesinthedark.js,3,0.1
polarsequencer.js,3,0.1
mosaic.js,3,0.1
junin.js,3,0.1
WebGPURenderPipelines.js,3,0.1
p5.collide2d.min.js,3,0.1
GLSLNodeParser.js,3,0.1
line.js,3,0.1
lib.js,3,0.1
webpd-runtime.js,3,0.1
OpenSimplexNoise.js,3,0.1
CodeNode.js,3,0.1
SlotNode.js,3,0.1
WebGPUStorageBuffer.js,3,0.1
PointsNodeMaterial.js,3,0.1
CubeTextureNode.js,3,0.1
NodeUtils.js,3,0.1
DragControls.js,3,0.1
WebGPUSampler.js,3,0.1
BRDF_BlinnPhong.js,3,0.1
getRoughness.js,3,0.1
UVNode.js,3,0.1
TangentNode.js,3,0.1
NodeFunction.js,3,0.1
flow.module.js,3,0.1
PointUVNode.js,3,0.1
SpecularMIPLevelNode.js,3,0.1
getDirectionVector.js,3,0.1
JoinNode.js,3,0.1
OimoPhysics.js,3,0.1
CSS3DRenderer.js,3,0.1
MeshPhysicalNodeMaterial.js,3,0.1
WebGLNodeBuilder.js,3,0.1
OperatorNode.js,3,0.1
WebGPURenderer.js,3,0.1
BRDF_GGX.js,3,0.1
WebGPUAnimation.js,3,0.1
ktx-parse.module.js,3,0.1
AnalyticLightNode.js,3,0.1
p5.dom.js,3,0.1
PackingNode.js,3,0.1
SpriteSheetUVNode.js,3,0.1
WebGPUUniform.js,3,0.1
NodeKeywords.js,3,0.1
MeshPhongNodeMaterial.js,3,0.1
WebGPUInfo.js,3,0.1
ReferenceNode.js,3,0.1
ReflectVectorNode.js,3,0.1
SVGRenderer.js,3,0.1
EnvironmentNode.js,3,0.1
NodeObjectLoader.js,3,0.1
SkinningNode.js,3,0.1
PhongLightingModel.js,3,0.1
Nodes.js,3,0.1
WGSLNodeParser.js,3,0.1
WGSLNodeFunction.js,3,0.1
TextureNode.js,3,0.1
NodeAttribute.js,3,0.1
VarNode.js,3,0.1
GLSLNodeFunction.js,3,0.1
WebGPUTextureRenderer.js,3,0.1
WebGPUBinding.js,3,0.1
BufferNode.js,3,0.1
WebGPUAttributes.js,3,0.1
NodeMaterialLoader.js,3,0.1
InputNode.js,3,0.1
ToneMappingNode.js,3,0.1
ComputeNode.js,3,0.1
mx_hsv.js,3,0.1
PointLightNode.js,3,0.1
lottie_canvas.module.js,3,0.1
DFGApprox.js,3,0.1
D_GGX.js,3,0.1
TempNode.js,3,0.1
p5.easing.js,3,0.1
VaryingNode.js,3,0.1
ColorSpaceNode.js,3,0.1
WebGPURenderStates.js,3,0.1
meshopt_decoder.module.js,3,0.1
CheckerNode.js,3,0.1
basis_transcoder.js,3,0.1
ArrayUniformNode.js,3,0.1
FrontFacingNode.js,3,0.1
ColorAdjustmentNode.js,3,0.1
NodeUniform.js,3,0.1
tween.module.min.js,3,0.1
motion-controllers.module.js,3,0.1
MeshStandardNodeMaterial.js,3,0.1
utilities.js,3,0.1
pal.js,3,0.1
FogNode.js,3,0.1
PropertyNode.js,3,0.1
BitangentNode.js,3,0.1
WebGPURenderPipeline.js,3,0.1
IESSpotLightNode.js,3,0.1
RotateUVNode.js,3,0.1
LightsNode.js,3,0.1
RangeNode.js,3,0.1
DirectionalLightNode.js,3,0.1
WebGPUUniformBuffer.js,3,0.1
ModelNode.js,3,0.1
FunctionCallNode.js,3,0.1
WebGPUObjects.js,3,0.1
ShaderNode.js,3,0.1
arrayColors.js,3,0.1
myscript.js,3,0.1
UniformNode.js,3,0.1
MeshBasicNodeMaterial.js,3,0.1
ExtendedMaterialNode.js,3,0.1
WebGPUBindings.js,3,0.1
CacheNode.js,3,0.1
TriplanarTexturesNode.js,3,0.1
ArcballControls.js,3,0.1
MeshNormalNodeMaterial.js,3,0.1
SpriteNodeMaterial.js,3,0.1
fflate.module.js,3,0.1
ExpressionNode.js,3,0.1
draco_wasm_wrapper.js,3,0.1
