id,name,version,chain,mint_opens_at,supply,minted,currency,primary_volume,primary_sales,secondary_volume,total_volume,total_sales,total_volume_usd
0,FXHASH Generative Logo,fxhash 1.0 (Tezos),TEZOS,2021-11-03T12:26:02+00:00,1000,1000,XTZ,0.4,1000,55473.137774,55473.537774,1617,123401.78
0x00772c0048B35d45Eaee2701aC676064eD33F1B4,Abstract Pixelscape,fxhash 2.0 (EVM),BASE,2024-12-12T16:32:33+00:00,256,2,ETH,0.015,2,0.0,0.015,2,58.88
0x0089cdb7215DF1Fab8BbC361F438A1e89f0A885c,Close Together,fxhash 2.0 (EVM),BASE,2025-01-12T04:36:41+00:00,100,3,ETH,0.003,3,0.0,0.003,3,9.77
0x01034Df217161a441f8dd8Fc1BB04Aa2615AADc0,Poison,fxhash 2.0 (EVM),BASE,2024-10-06T22:43:27+00:00,29,29,ETH,0.0306,29,0.004,0.0346,30,84.67
0x01CC8A435A9fa0bC676CA504E4F5D03B2088a29e,Land,fxhash 2.0 (EVM),BASE,2024-08-07T14:00:00+00:00,150,4,ETH,0.006,4,0.0,0.006,4,15.17
0x022582C5b1f3AB93EC651b879897CCaB6EbB14A0,Solution,fxhash 2.0 (EVM),BASE,2024-12-26T16:00:00+00:00,256,256,ETH,0.0,256,0.021,0.021,258,72.01
0x0267364794A6A21d12BE06Ff22cfC2ba64b564dE,Samsa,fxhash 2.0 (EVM),BASE,2024-03-11T09:03:00+00:00,211,211,ETH,0.0,211,0.927779,0.927779,272,3237.12
0x027B7a0112B19Cb0C104e7515b1Cdda9157728d7,WRISTORY: My Wish (나의 소원) - Baekbum Kim Gu,fxhash 2.0 (EVM),BASE,2026-05-22T13:10:00+00:00,150,,ETH,0.0,0,0.0,0.0,0,0.0
0x0280993081005b96c2a73ae7Daa9ba11fD354f2f,Minor lights,fxhash 2.0 (EVM),BASE,2025-05-27T13:44:25+00:00,3,2,ETH,0.24,2,0.0,0.24,2,635.21
0x03751F0eA0ab18734c9C9De6bcA760e979eBa7B0,Through,fxhash 2.0 (EVM),BASE,2024-12-25T20:23:45+00:00,2115,2115,ETH,0.001555,2115,0.204437,0.205992,2319,364.58
0x03e27c3800291d70972534011e17B6aD966c8728,Distant settlement,fxhash 2.0 (EVM),BASE,2025-12-10T06:44:00+00:00,256,13,ETH,0.00255,13,0.0,0.00255,13,6.69
0x04129D504Ef301Ef83D0EFb65cEDC38f0385B65E,Frolic,fxhash 2.0 (EVM),ETHEREUM,2023-12-16T19:00:00+00:00,6,6,ETH,0.12,6,0.0,0.12,6,265.06
0x045808302Ea23aC9fccd333BeE2867fFbdc15e02,elektromedusae,fxhash 2.0 (EVM),BASE,2026-03-23T19:00:00+00:00,256,56,ETH,0.14336,56,0.0,0.14336,56,304.75
0x045efe45B85320Cdc629AeB47Dfd90626AcD7634,GenesisAmphibia69,fxhash 2.0 (EVM),BASE,2025-02-28T17:00:00+00:00,420,0,ETH,0.0,0,0.0,0.0,0,0.0
0x04C192F3e5b359A631561b71eAC16cb489EfD2E2,Baseflow V3,fxhash 2.0 (EVM),BASE,2024-05-02T13:13:43+00:00,10,10,ETH,0.0075,10,0.0,0.0075,10,23.1
0x052E3b91B999FBfdd68d8dc427b6927D102A2F2e,RideLoop,fxhash 2.0 (EVM),BASE,2024-10-15T12:58:29+00:00,5,5,ETH,0.005,5,0.0,0.005,5,13.23
0x05427f48E4f4F2d3824f801eBC36935F37dcf186,Alseno,fxhash 2.0 (EVM),BASE,2024-08-30T17:30:00+00:00,11,11,ETH,0.0088,11,0.0,0.0088,11,21.54
0x05CA5F3b470Bb5f98E40D12Ec6ccf79AD795dea0,Feather Head,fxhash 2.0 (EVM),BASE,2024-03-29T19:00:00+00:00,14,14,ETH,0.0119,14,0.0,0.0119,14,39.44
0x063E3AaFe05Ffc1F87d57ED9fce9bAF15512b91c,Extraterrestrial Transmission,fxhash 2.0 (EVM),BASE,2024-09-20T04:00:00+00:00,6,6,ETH,0.012,6,0.0,0.012,6,35.74
0x06880cd95A580EB3Ba97706473dA084a974242A7,Macro Geometry,fxhash 2.0 (EVM),BASE,2024-12-19T19:00:00+00:00,12,12,ETH,0.0096,12,0.0,0.0096,12,32.52
0x06c87FA59A33A24e18CD71Ca9E4a0dc19186B23C,Immortal Gems,fxhash 2.0 (EVM),BASE,2026-05-25T15:00:00+00:00,6,,ETH,0.0,0,0.0,0.0,0,0.0
