"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"#2A363BFF","#019875FF","#99B898FF","#FECEA8FF","#FF847CFF","#E84A5FFF","#C0392BFF","#96281BFF","#2A363BFF","#019875FF","#99B898FF","#FECEA8FF"
"#F7DC05FF","#3D98D3FF","#EC0B88FF","#5E35B1FF","#F9791EFF","#3DD378FF","#C6C6C6FF","#444444FF","#F7DC05FF","#3D98D3FF","#EC0B88FF","#5E35B1FF"
"#C62828FF","#F44336FF","#9C27B0FF","#673AB7FF","#3F51B5FF","#2196F3FF","#29B6F6FF","#006064FF","#009688FF","#4CAF50FF","#8BC34AFF","#FFEB3BFF"
"#D6D6D6FF","#ADADADFF","#707070FF","#333333FF","#D6D6D6FF","#ADADADFF","#707070FF","#333333FF","#D6D6D6FF","#ADADADFF","#707070FF","#333333FF"
"#017A4AFF","#FFCE4EFF","#3D98D3FF","#FF363CFF","#7559A2FF","#794924FF","#8CDB5EFF","#D6D6D6FF","#FB8C00FF","#017A4AFF","#FFCE4EFF","#3D98D3FF"
"#9F248FFF","#FFCE4EFF","#017A4AFF","#F9791EFF","#244579FF","#C6242DFF","#9F248FFF","#FFCE4EFF","#017A4AFF","#F9791EFF","#244579FF","#C6242DFF"
"#5E81ACFF","#8FA87AFF","#BF616AFF","#E7D202FF","#7D5329FF","#F49538FF","#66CDAAFF","#D070B9FF","#98FB98FF","#FCA3B7FF","#5E81ACFF","#8FA87AFF"
"#5DA5DAFF","#FAA43AFF","#60BD68FF","#F15854FF","#B276B2FF","#8D4B08FF","#DECF3FFF","#F17CB0FF","#66E3D9FF","#00FF7FFF","#5DA5DAFF","#FAA43AFF"
"#3870C2FF","#8AC1D4FF","#F2A83BFF","#66C84DFF","#DA2E20FF","#FFFD55FF","#EB8677FF","#A6EB99FF","#DF89E8FF","#8A6842FF","#3870C2FF","#8AC1D4FF"
"#42BA90FF","#BEE948FF","#3A82E4FF","#D25D38FF","#E9A820FF","#9041BAFF","#795C32FF","#EC5578FF","#00B7EBFF","#FEE12BFF","#42BA90FF","#BEE948FF"
"#FF0000FF","#0000FFFF","#008B00FF","#8B4513FF","#ECC700FF","#A020F0FF","#FF8C00FF","#EE1289FF","#00FFFFFF","#00FF00FF","#FF0000FF","#0000FFFF"
"#5DA5DAFF","#FAA43AFF","#60BD68FF","#F15854FF","#B276B2FF","#8D4B08FF","#DECF3FFF","#F17CB0FF","#66E3D9FF","#00FF7FFF","#5DA5DAFF","#FAA43AFF"
"#7852A9FF","#E93FBCFF","#B33941FF","#1175BBFF","#2E8B57FF","#DBA520FF","#EF7215FF","#4AC6AEFF","#997950FF","#E27069FF","#7852A9FF","#E93FBCFF"
