H,S,B,H,S,B,H,S,B,H,S,B,H,S,B
0,13,30,0,75,77,23,100,100,45,100,90,23,73,86
105,78,53,155,75,58,65,75,68,10,90,90,34,90,93
118,58,52,27,98,100,0,100,95,350,97,76,198,17,23
127,6,45,81,60,70,66,64,94,45,75,96,18,80,93
46,90,88,36,98,95,26,90,90,16,92,90,6,80,86
140,29,79,59,100,100,20,92,96,32,100,100,60,17,57
150,38,80,42,21,60,3,98,100,33,87,98,43,100,100
161,49,87,95,36,85,55,42,87,31,90,97,17,37,39
164,41,77,52,33,90,14,78,92,360,65,81,285,10,34  
18,39,37,28,55,80,94,33,82,74,48,91,53,87,99
18,39,37,28,55,80,94,43,72,74,58,91,53,87,99
183,47,64,43,36,86,28,92,98,1,90,97,340,67,63
184,87,69,30,24,31,60,90,100,48,59,97,141,48,60
184,87,69,30,24,31,60,90,100,48,59,97,141,8,70
185,100,69,18,28,42,355,60,80,14,81,92,46,81,93
189,100,78,185,57,80,37,60,98,78,74,89,75,100,75
190,72,91,177,42,86,70,31,89,26,89,95,25,100,98
193,94,55,180,51,57,175,59,72,68,59,64,47,85,93
199,94,60,180,51,57,175,59,72,68,65,70,49,85,93
220,56,37,207,57,89,206,57,98,207,57,79,11,86,95
220,7,28,58,100,100,41,65,87,0,32,35,223,8,19
23,53,52,45,92,99,160,56,70,27,88,94,43,86,84
263,80,49,213,78,65,171,78,65,82,67,70,52,57,87
273,90,29,213,78,35,171,78,40,82,77,70,82,47,77
11,76,49,360,80,64,32,98,91,49,100,97,67,82,61
34,20,40,155,31,74,61,78,97,42,79,90,15,65,75
354,76,63,58,60,93,79,63,75,58,25,70,58,54,43
37,39,91,40,44,80,179,94,40,196,92,29,217,89,20
37,52,91,201,55,19,353,97,99,37,90,96,36,51,91
40,71,94,28,100,24,172,26,72,42,78,95,10,100,98
43,100,100,22,92,97,9,91,96,320,56,18,38,80,97
45,18,85,190,77,81,195,32,60,276,10,45,332,25,34
95,0,78,40,3,31,87,58,58,194,64,69,210,55,50
46,75,93,10,66,85,350,65,75,336,40,33,185,19,48
50,25,86,22,28,38,46,88,98,184,63,70,155,82,58
54,42,89,97,22,84,174,36,80,174,38,74,168,9,12
54,62,89,97,62,74,164,66,65,180,68,74,168,9,12
6,71,55,136,20,55,85,29,65,53,44,75,42,85,95
6,81,65,55,80,60,85,55,60,53,44,90,42,85,95
60,27,73,54,38,80,48,71,93,32,73,93,20,75,93
73,53,80,62,79,94,40,100,100,2,80,94,344,47,67
90,25,47,80,33,56,72,61,85,60,44,94,0,14,38
200,100,98,202,95,79,199,100,58,202,100,33,200,75,14
192,52,93,202,120,76,202,107,42,182,74,67,183,105,54
21,87,100,21,111,100,21,120,88,21,119,68,21,120,48
193,61,40,51,37,100,36,87,88,359,88,62,358,104,33
323,101,37,349,118,60,29,103,98,23,109,89,192,100,36
197,65,33,173,88,62,43,65,91,27,72,96,12,78,91
323,101,37,349,118,60,29,103,98,23,109,89,192,100,36
225,70,40,205,52,51,182,41,61,53,24,70,32,59,100
37,83,93,352,78,82,188,120,55,207,79,56,200,120,36
120,75,75,160,100,75,190,85,82,210,92,90,220,80,80
0,0,20,0,0,95,0,0,60,220,100,62,47,120,100
