channel,rotator,hue360,sat100,light100,length
1,0.000,146.25,32.03125,32.03125,118
1,0.189,165.9375,21.875,21.875,118
1,0.378,180,15.625,15.625,118
1,0.568,188.4375,15.625,15.625,118
1,0.757,213.75,21.875,21.875,118
1,0.946,199.6875,21.875,21.875,118
1,1.135,208.125,18.75,18.75,118
1,1.324,194.0625,21.875,21.875,118
1,1.513,188.4375,10.9375,10.9375,118
1,1.703,194.0625,21.875,21.875,118
1,1.892,199.6875,32.03125,32.03125,118
1,2.081,188.4375,32.03125,32.03125,118
1,2.280,165.9375,23.4375,23.4375,118
1,2.459,168.75,26.5625,26.5625,118
1,2.648,188.4375,20.3125,20.3125,118
1,2.838,199.6875,17.1875,17.1875,118
1,3.036,222.1875,33.59375,33.59375,118
1,3.216,208.125,10.15625,10.15625,118
1,3.405,213.75,20.3125,20.3125,118
1,3.594,208.125,12.5,12.5,118
1,3.783,199.6875,10.9375,10.9375,118
1,3.973,194.0625,17.1875,17.1875,118
1,4.162,199.6875,20.3125,20.3125,118
1,4.351,174.375,20.3125,20.3125,118
1,4.540,188.4375,23.4375,23.4375,118
1,4.729,208.125,14.0625,14.0625,118
1,4.939,180,40.625,40.625,118
1,5.117,174.375,26.5625,26.5625,114
1,5.297,135,10.15625,10.15625,118
1,5.486,199.6875,21.875,21.875,118
1,5.675,180,35.15625,35.15625,118
1,5.864,213.75,15.625,15.625,118
1,6.053,199.6875,35.15625,35.15625,118
1,6.243,208.125,25,25,118
1,6.432,199.6875,23.4375,23.4375,105
1,6.621,188.4375,38.28125,38.28125,118
1,6.810,180,35.15625,35.15625,118
1,6.999,194.0625,32.03125,32.03125,118
1,7.188,199.6875,35.15625,35.15625,118
1,7.378,194.0625,38.28125,38.28125,118
1,7.567,168.75,13.28125,13.28125,118
1,7.756,202.5,26.5625,26.5625,118
1,7.945,188.4375,39.84375,39.84375,118
1,8.134,199.6875,20.3125,20.3125,118
1,8.324,180,20.3125,20.3125,118
1,8.513,208.125,29.6875,29.6875,118
1,8.702,213.75,46.875,46.875,118
1,8.891,188.4375,36.71875,36.71875,118
1,9.080,199.6875,26.5625,26.5625,118
1,9.269,180,29.6875,29.6875,118
1,9.459,194.0625,26.5625,26.5625,118
1,9.648,199.6875,46.875,46.875,118
1,9.837,168.75,66.40625,66.40625,118
1,10.026,180,39.84375,39.84375,118
1,10.215,174.375,50.78125,50.78125,118
1,10.415,154.6875,39.84375,39.84375,113
1,10.605,135,47.65625,47.65625,118
1,10.783,168.75,27.34375,27.34375,118
1,10.972,180,34.375,34.375,118
1,11.161,188.4375,37.5,37.5,118
1,11.350,199.6875,34.375,34.375,118
1,11.539,213.75,34.375,34.375,118
1,11.729,208.125,27.34375,27.34375,118
1,11.918,222.1875,44.53125,44.53125,118
1,12.107,202.5,24.21875,24.21875,118
1,12.296,208.125,27.34375,27.34375,118
1,12.485,213.75,24.21875,24.21875,118
1,12.674,194.0625,37.5,37.5,118
1,12.864,199.6875,21.875,21.875,118
1,13.053,202.5,35.15625,35.15625,118
1,13.242,188.4375,41.40625,41.40625,118
1,13.431,194.0625,45.3125,45.3125,118
1,13.620,180,38.28125,38.28125,118
1,13.809,188.4375,45.3125,45.3125,118
1,13.999,168.75,28.125,28.125,118
1,14.188,180,38.28125,38.28125,118
1,14.377,177.1875,41.40625,41.40625,118
1,14.566,180,41.40625,41.40625,118
1,14.766,171.5625,41.40625,41.40625,118
1,14.944,174.375,61.71875,61.71875,118
1,15.145,168.75,41.40625,41.40625,118
1,15.334,174.375,41.40625,41.40625,118
1,15.523,180,41.40625,41.40625,118
1,15.712,188.4375,38.28125,38.28125,113
1,15.890,132.1875,53.125,53.125,118
1,16.080,140.625,22.65625,22.65625,118
1,16.269,165.9375,22.65625,22.65625,118
1,16.458,154.6875,25.78125,25.78125,118
1,16.647,143.4375,39.0625,39.0625,118
1,16.846,160.3125,17.96875,17.96875,118
1,17.025,180,17.96875,17.96875,118
1,17.215,163.125,46.09375,46.09375,118
1,17.415,188.4375,42.1875,42.1875,118
1,17.593,174.375,19.53125,19.53125,118
1,17.782,185.625,28.90625,28.90625,118
1,17.971,194.0625,17.96875,17.96875,118
1,18.170,132.1875,29.6875,29.6875,118
1,18.350,143.4375,50,50,118
1,18.537,185.625,23.4375,23.4375,118
1,18.728,188.4375,29.6875,29.6875,118
1,18.917,194.0625,32.8125,32.8125,118
1,19.106,199.6875,26.5625,26.5625,118
1,19.295,213.75,16.40625,16.40625,118
1,19.485,202.5,30.46875,30.46875,105
1,19.694,199.6875,29.6875,29.6875,118
1,19.863,185.625,24.21875,24.21875,118
1,20.052,188.4375,21.09375,21.09375,118
1,20.241,194.0625,30.46875,30.46875,118
1,20.430,188.4375,32.03125,32.03125,118
1,20.620,151.875,36.71875,36.71875,118
1,20.809,208.125,36.71875,36.71875,118
1,20.998,213.75,39.84375,39.84375,118
1,21.187,112.5,41.40625,41.40625,118
3,21.187,146.25,38.28125,38.28125,118
1,21.376,132.1875,31.25,31.25,118
3,21.376,165.9375,28.125,28.125,118
1,21.565,146.25,25,25,118
3,21.565,180,21.875,21.875,118
1,21.755,154.6875,25,25,118
3,21.755,188.4375,21.875,21.875,118
1,21.944,180,31.25,31.25,118
3,21.944,213.75,28.125,28.125,118
1,22.133,165.9375,31.25,31.25,118
3,22.133,199.6875,28.125,28.125,118
1,22.322,174.375,28.125,28.125,118
3,22.322,208.125,25,25,118
1,22.511,160.3125,31.25,31.25,118
3,22.511,194.0625,28.125,28.125,118
1,22.701,154.6875,20.3125,20.3125,118
3,22.701,188.4375,17.1875,17.1875,118
1,22.890,160.3125,31.25,31.25,118
3,22.890,194.0625,28.125,28.125,118
1,23.079,165.9375,41.40625,41.40625,118
3,23.079,199.6875,38.28125,38.28125,118
1,23.268,154.6875,41.40625,41.40625,118
3,23.268,188.4375,38.28125,38.28125,118
1,23.457,126.5625,32.03125,32.03125,118
3,23.457,160.3125,32.03125,32.03125,118
1,23.646,140.625,35.15625,35.15625,118
3,23.646,174.375,35.15625,35.15625,118
1,23.836,154.6875,28.90625,28.90625,118
3,23.836,188.4375,28.90625,28.90625,118
1,24.025,165.9375,25.78125,25.78125,118
3,24.025,199.6875,25.78125,25.78125,118
1,24.214,188.4375,42.1875,42.1875,118
3,24.214,222.1875,42.1875,42.1875,118
1,24.403,174.375,18.75,18.75,118
3,24.403,208.125,18.75,18.75,118
1,24.592,180,28.90625,28.90625,118
3,24.592,213.75,28.90625,28.90625,118
1,24.781,174.375,21.09375,21.09375,118
3,24.781,208.125,21.09375,21.09375,118
1,24.971,165.9375,19.53125,19.53125,118
3,24.971,199.6875,19.53125,19.53125,118
1,25.160,160.3125,25.78125,25.78125,118
3,25.160,194.0625,25.78125,25.78125,118
1,25.349,165.9375,28.90625,28.90625,118
3,25.349,199.6875,28.90625,28.90625,118
1,25.538,140.625,28.90625,28.90625,118
3,25.538,174.375,28.90625,28.90625,118
1,25.727,154.6875,32.03125,32.03125,118
3,25.727,188.4375,32.03125,32.03125,118
1,25.916,174.375,22.65625,22.65625,118
3,25.916,208.125,22.65625,22.65625,118
1,26.126,146.25,49.21875,49.21875,118
3,26.126,180,49.21875,49.21875,118
1,26.304,140.625,35.15625,35.15625,114
3,26.304,174.375,35.15625,35.15625,114
1,26.484,101.25,17.1875,17.1875,118
3,26.484,135,21.09375,21.09375,118
1,26.673,165.9375,28.90625,28.90625,118
3,26.673,199.6875,32.8125,32.8125,118
1,26.862,146.25,42.1875,42.1875,118
3,26.862,180,46.09375,46.09375,118
1,27.051,180,22.65625,22.65625,118
3,27.051,213.75,26.5625,26.5625,118
1,27.241,165.9375,42.1875,42.1875,118
3,27.241,199.6875,46.09375,46.09375,118
1,27.430,174.375,32.03125,32.03125,118
3,27.430,208.125,35.9375,35.9375,118
1,27.619,165.9375,32.03125,32.03125,118
3,27.619,199.6875,17.1875,17.1875,118
1,27.808,154.6875,45.3125,45.3125,118
3,27.808,188.4375,49.21875,49.21875,118
1,27.997,146.25,42.1875,42.1875,118
3,27.997,180,46.09375,46.09375,118
1,28.186,160.3125,39.0625,39.0625,118
3,28.186,194.0625,42.96875,42.96875,118
1,28.376,165.9375,42.1875,42.1875,118
3,28.376,199.6875,46.09375,46.09375,118
1,28.565,160.3125,45.3125,45.3125,118
3,28.565,194.0625,49.21875,49.21875,118
1,28.754,135,38.28125,38.28125,145
3,28.754,168.75,26.5625,26.5625,118
1,28.943,168.75,35.9375,35.9375,118
3,28.943,202.5,39.84375,39.84375,118
1,29.132,154.6875,49.21875,49.21875,118
3,29.132,188.4375,53.125,53.125,118
1,29.321,165.9375,29.6875,29.6875,118
3,29.321,199.6875,33.59375,33.59375,118
1,29.511,146.25,29.6875,29.6875,118
3,29.511,180,33.59375,33.59375,118
1,29.700,174.375,39.0625,39.0625,118
3,29.700,208.125,42.96875,42.96875,118
1,29.889,180,56.25,56.25,118
3,29.889,213.75,60.15625,60.15625,118
1,30.078,154.6875,46.09375,46.09375,118
3,30.078,188.4375,50,50,118
1,30.267,165.9375,35.9375,35.9375,118
3,30.267,199.6875,39.84375,39.84375,118
1,30.457,146.25,39.0625,39.0625,118
3,30.457,180,42.96875,42.96875,118
1,30.646,160.3125,35.9375,35.9375,118
3,30.646,194.0625,39.84375,39.84375,118
1,30.835,165.9375,56.25,56.25,118
3,30.835,199.6875,60.15625,60.15625,118
1,31.024,135,75.78125,75.78125,118
3,31.024,168.75,79.6875,79.6875,118
1,31.213,146.25,49.21875,49.21875,118
3,31.213,180,53.125,53.125,118
1,31.402,140.625,60.15625,60.15625,118
3,31.402,174.375,64.0625,64.0625,118
1,31.603,120.9375,49.21875,49.21875,113
3,31.603,154.6875,53.125,53.125,113
1,31.792,101.25,60.9375,60.9375,118
3,31.792,135,64.0625,64.0625,118
1,31.970,135,40.625,40.625,118
